Parameters,TAU_SCORE_NORM,MOMENT_SCORE_NORM,Z_SCORE
30 bins - 0.0010 eps,0.549214026935619,0.17341811909881,0.722632146034429
30 bins - 0.0020 eps,0.354014250645291,0.368092594412273,0.722106845057564
30 bins - 0.0050 eps,0,0.507291577097721,0.507291577097721
30 bins - 0.0200 eps,1,0.777231297264369,1.77723129726437
40 bins - 0.0010 eps,0.639221939201058,0,0.639221939201058
40 bins - 0.0020 eps,0.416089065580633,0.237123909980042,0.653212975560675
40 bins - 0.0050 eps,0.0268872532843726,0.101014883519595,0.127902136803967
40 bins - 0.0200 eps,0.995006177035831,0.885835799136269,1.8808419761721
50 bins - 0.0010 eps,0.681937886573204,0.216998452366368,0.898936338939571
50 bins - 0.0020 eps,0.455161739851144,0.0674133530505308,0.522575092901674
50 bins - 0.0050 eps,0.0442321507684222,0.218259301504462,0.262491452272885
50 bins - 0.0200 eps,0.984368227734056,1,1.98436822773406
75 bins - 0.0010 eps,0.72585214734586,0.0291352105439222,0.754987357889782
75 bins - 0.0020 eps,0.483513179919275,0.148216635929208,0.631729815848483
75 bins - 0.0050 eps,0.0574579393422674,0.0744561316665774,0.131914071008845
75 bins - 0.0200 eps,0.966266044233033,0.991434537393623,1.95770058162666
